Sequence #,Timestamp,PGN,Name,Manufacturer,Remote Address,Local Address,Priority,Single Frame,Size,Packet
1871,528304,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1872,528308,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7D7AFF7FFF7FFD
1873,528312,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1874,528316,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1875,528320,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1876,528324,59904,ISO Request,Garmin,3,4,6,1,3,0x14F001
1877,528334,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7C7AFF7FFF7FFD
1878,528337,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1879,528341,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1880,528369,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1881,528419,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFCFEFFFEFFFFFF
1882,528434,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7C7AFF7FFF7FFD
1883,528438,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1884,528442,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1885,528470,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1886,528535,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7D7AFF7FFF7FFD
1887,528589,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1888,528593,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1889,528597,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1890,528636,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7C7AFF7FFF7FFD
1891,528640,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1892,528643,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1893,528669,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFCFEFFFEFFFFFF
1894,528674,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1895,528736,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7C7AFF7FFF7FFD
1896,528740,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1897,528744,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1898,528770,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1899,528837,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7C7AFF7FFF7FFD
1900,528886,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1901,528890,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1902,528894,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1903,528919,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFCFEFFFEFFFFFF
1904,528938,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7B7AFF7FFF7FFD
1905,528942,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1906,528945,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1907,528969,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1908,529038,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7C7AFF7FFF7FFD
1909,529042,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1910,529046,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1911,529070,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1912,529139,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7D7AFF7FFF7FFD
1913,529188,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1914,529193,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1915,529197,129029,GNSS Position Data,Garmin,3,255,3,0,43,0xFFDF40FEFFFFFFFEFFFFFFFFFFFF7FFEFFFFFFFFFFFF7FFEFFFFFFFFFFFF7F10FC00FE7FFE7FFEFFFF7F00
1916,529201,129540,GNSS Sats in View,Garmin,3,255,6,0,135,0xFFFF0B10D02493CE9808FFFFFF7FF11D68129638280AFFFFFF7FF11A00000000D007FFFFFF7FF115C431FE3B6C07FFFFFF7FF114D1150A2F3408FFFFFF7FF1160B02F275A406FFFFFF7FF01BB91188BD7805FFFFFF7FF012FF0E9565FC08FFFFFF7FF0052E08DC179CFFFFFFFF7FF0195D01725F9CFFFFFFFF7FF01F450C88909CFFFFFFFF7FF0
1917,529211,129539,GNSS DOPs,Garmin,3,255,6,1,8,0xFFDFFFFFFFFFFFFF
1918,529214,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFCFEFFFEFFFFFF
1919,529218,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1920,529240,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7D7AFF7FFF7FFD
1921,529244,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1922,529248,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1923,529271,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1924,529340,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1925,529344,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7E7AFF7FFF7FFD
1926,529348,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1927,529369,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1928,529419,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFCFEFFFEFFFFFF
1929,529479,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1930,529484,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7E7AFF7FFF7FFD
1931,529487,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1932,529491,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1933,529495,126996,Product Information,Garmin,1,255,6,0,134,0x14055A404748503132000000000000000000000000000000000000000000000000000000322E343000000000000000000000000000000000000000000000000000000000312E30000000000000000000000000000000000000000000000000000000000033383831383732303030000000000000000000000000000000000000000000000102
1934,529540,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1935,529544,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7D7AFF7FFF7FFD
1936,529548,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1937,529580,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1938,529640,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1939,529644,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7D7AFF7FFF7FFD
1940,529647,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1941,529669,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFCFEFFFEFFFFFF
1942,529674,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1943,529740,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1944,529783,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7D7AFF7FFF7FFD
1945,529787,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1946,529790,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1947,529840,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1948,529844,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7D7AFF7FFF7FFD
