Sequence #,Month_Day_Year_Hours_Minutes_Seconds_msTicks,PGN,Processed PGN,Name,Manufacturer,Remote Address,Local Address,Priority,Single Frame,Size,Packet
625,6_21_2015_16_11_24_24950419,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
626,6_21_2015_16_11_24_24950448,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
627,6_21_2015_16_11_24_24950513,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF537AFF7FFF7FFD
628,6_21_2015_16_11_24_24950520,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
629,6_21_2015_16_11_24_24950548,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
630,6_21_2015_16_11_24_24950613,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF537AFF7FFF7FFD
631,6_21_2015_16_11_24_24950620,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
632,6_21_2015_16_11_24_24950648,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
633,6_21_2015_16_11_24_24950714,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF537AFF7FFF7FFD
634,6_21_2015_16_11_24_24950721,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
635,6_21_2015_16_11_24_24950748,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
636,6_21_2015_16_11_24_24950815,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF537AFF7FFF7FFD
637,6_21_2015_16_11_24_24950822,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
638,6_21_2015_16_11_24_24950848,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
639,6_21_2015_16_11_24_24950915,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF537AFF7FFF7FFD
640,6_21_2015_16_11_24_24950923,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
641,6_21_2015_16_11_24_24950948,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
642,6_21_2015_16_11_24_24951016,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF537AFF7FFF7FFD
643,6_21_2015_16_11_24_24951023,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
644,6_21_2015_16_11_24_24951048,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
645,6_21_2015_16_11_24_24951117,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF547AFF7FFF7FFD
646,6_21_2015_16_11_24_24951124,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
647,6_21_2015_16_11_24_24951148,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
648,6_21_2015_16_11_24_24951217,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF547AFF7FFF7FFD
649,6_21_2015_16_11_24_24951224,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
650,6_21_2015_16_11_24_24951248,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
651,6_21_2015_16_11_24_24951277,127258,Unprocessed,Magnetic Variation,Unknown Manufacturer,9,255,6,1,6,0xFFFFDF40FF7F
652,6_21_2015_16_11_24_24951318,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF557AFF7FFF7FFD
653,6_21_2015_16_11_24_24951326,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
654,6_21_2015_16_11_24_24951348,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
655,6_21_2015_16_11_24_24951405,129284,Processed,Navigation Data,Unknown Manufacturer,4,255,3,0,34,0xFFFFFFFFFF0FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7FFFFFFF7FFF7F
656,6_21_2015_16_11_24_24951412,129283,Processed,Cross Track Error,Unknown Manufacturer,4,255,3,1,8,0xFFFFFFFFFF7FFFFF
657,6_21_2015_16_11_24_24951419,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF557AFF7FFF7FFD
658,6_21_2015_16_11_24_24951425,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
659,6_21_2015_16_11_24_24951448,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
660,6_21_2015_16_11_24_24951520,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF557AFF7FFF7FFD
661,6_21_2015_16_11_24_24951527,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
662,6_21_2015_16_11_24_24951548,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
663,6_21_2015_16_11_34_24951620,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF567AFF7FFF7FFD
664,6_21_2015_16_11_34_24951627,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
665,6_21_2015_16_11_34_24951648,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
666,6_21_2015_16_11_34_24951721,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF567AFF7FFF7FFD
667,6_21_2015_16_11_34_24951728,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
668,6_21_2015_16_11_34_24951748,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
669,6_21_2015_16_11_34_24951822,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF567AFF7FFF7FFD
670,6_21_2015_16_11_34_24951829,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
671,6_21_2015_16_11_34_24951848,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
672,6_21_2015_16_11_34_24951922,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF567AFF7FFF7FFD
673,6_21_2015_16_11_34_24951929,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
674,6_21_2015_16_11_34_24951948,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
675,6_21_2015_16_11_34_24952023,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF567AFF7FFF7FFD
676,6_21_2015_16_11_34_24952033,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
677,6_21_2015_16_11_34_24952048,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
678,6_21_2015_16_11_35_24952124,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF557AFF7FFF7FFD
679,6_21_2015_16_11_35_24952131,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
680,6_21_2015_16_11_35_24952148,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
681,6_21_2015_16_11_35_24952225,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF557AFF7FFF7FFD
682,6_21_2015_16_11_35_24952231,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
683,6_21_2015_16_11_35_24952248,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
684,6_21_2015_16_11_35_24952277,127258,Unprocessed,Magnetic Variation,Unknown Manufacturer,9,255,6,1,6,0xFFFFDF40FF7F
685,6_21_2015_16_11_35_24952325,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF557AFF7FFF7FFD
686,6_21_2015_16_11_35_24952332,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
687,6_21_2015_16_11_35_24952348,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
688,6_21_2015_16_11_35_24952426,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF557AFF7FFF7FFD
689,6_21_2015_16_11_35_24952433,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
690,6_21_2015_16_11_35_24952448,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
691,6_21_2015_16_11_35_24952527,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF567AFF7FFF7FFD
692,6_21_2015_16_11_35_24952534,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
693,6_21_2015_16_11_35_24952548,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
694,6_21_2015_16_11_35_24952627,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF567AFF7FFF7FFD
695,6_21_2015_16_11_35_24952634,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
696,6_21_2015_16_11_35_24952640,129284,Processed,Navigation Data,Unknown Manufacturer,4,255,3,0,34,0xFFFFFFFFFF0FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7FFFFFFF7FFF7F
697,6_21_2015_16_11_35_24952647,129283,Processed,Cross Track Error,Unknown Manufacturer,4,255,3,1,8,0xFFFFFFFFFF7FFFFF
698,6_21_2015_16_11_35_24952655,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
699,6_21_2015_16_11_35_24952728,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF557AFF7FFF7FFD
700,6_21_2015_16_11_35_24952734,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
701,6_21_2015_16_11_35_24952748,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
702,6_21_2015_16_11_35_24952829,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF567AFF7FFF7FFD
703,6_21_2015_16_11_35_24952836,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
704,6_21_2015_16_11_35_24952848,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
705,6_21_2015_16_11_35_24952930,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF567AFF7FFF7FFD
