Sequence #,Month_Day_Year_Hours_Minutes_Seconds_msTicks,PGN,Processed PGN,Name,Manufacturer,Remote Address,Local Address,Priority,Single Frame,Size,Packet
0,6_21_2015_16_11_14_24931648,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
1,6_21_2015_16_11_14_24931680,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4F7AFF7FFF7FFD
2,6_21_2015_16_11_14_24931687,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
3,6_21_2015_16_11_14_24931748,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
4,6_21_2015_16_11_14_24931781,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF517AFF7FFF7FFD
5,6_21_2015_16_11_14_24931789,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
6,6_21_2015_16_11_14_24931848,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
7,6_21_2015_16_11_14_24931882,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
8,6_21_2015_16_11_14_24931889,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
9,6_21_2015_16_11_14_24931948,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
10,6_21_2015_16_11_14_24931982,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4F7AFF7FFF7FFD
11,6_21_2015_16_11_14_24931988,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
12,6_21_2015_16_11_14_24932048,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
13,6_21_2015_16_11_14_24932083,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4C7AFF7FFF7FFD
14,6_21_2015_16_11_14_24932090,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
15,6_21_2015_16_11_14_24932148,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
16,6_21_2015_16_11_14_24932183,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4A7AFF7FFF7FFD
17,6_21_2015_16_11_14_24932192,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
18,6_21_2015_16_11_14_24932209,129284,Processed,Navigation Data,Unknown Manufacturer,4,255,3,0,34,0xFFFFFFFFFF0FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7FFFFFFF7FFF7F
19,6_21_2015_16_11_14_24932215,129283,Processed,Cross Track Error,Unknown Manufacturer,4,255,3,1,8,0xFFFFFFFFFF7FFFFF
20,6_21_2015_16_11_14_24932248,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
21,6_21_2015_16_11_14_24932276,127258,Unprocessed,Magnetic Variation,Unknown Manufacturer,9,255,6,1,6,0xFFFFDF40FF7F
22,6_21_2015_16_11_14_24932284,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF497AFF7FFF7FFD
23,6_21_2015_16_11_14_24932290,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
24,6_21_2015_16_11_14_24932348,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
25,6_21_2015_16_11_14_24932385,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4B7AFF7FFF7FFD
26,6_21_2015_16_11_14_24932392,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
27,6_21_2015_16_11_14_24932448,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
28,6_21_2015_16_11_14_24932486,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4E7AFF7FFF7FFD
29,6_21_2015_16_11_14_24932494,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
30,6_21_2015_16_11_14_24932548,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
31,6_21_2015_16_11_14_24932586,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
32,6_21_2015_16_11_14_24932593,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
33,6_21_2015_16_11_15_24932648,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
34,6_21_2015_16_11_15_24932687,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF517AFF7FFF7FFD
35,6_21_2015_16_11_15_24932696,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
36,6_21_2015_16_11_15_24932748,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
37,6_21_2015_16_11_15_24932788,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF517AFF7FFF7FFD
38,6_21_2015_16_11_15_24932795,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
39,6_21_2015_16_11_15_24932848,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
40,6_21_2015_16_11_15_24932888,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
41,6_21_2015_16_11_15_24932897,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
42,6_21_2015_16_11_15_24932948,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
43,6_21_2015_16_11_15_24932990,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
44,6_21_2015_16_11_15_24932997,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
45,6_21_2015_16_11_15_24933048,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
46,6_21_2015_16_11_15_24933090,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
47,6_21_2015_16_11_15_24933096,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
48,6_21_2015_16_11_15_24933112,59904,Processed,ISO Request,Unknown Manufacturer,4,3,6,1,3,0x00EE00
49,6_21_2015_16_11_15_24933148,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
50,6_21_2015_16_11_15_24933191,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
51,6_21_2015_16_11_15_24933196,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
52,6_21_2015_16_11_15_24933248,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
53,6_21_2015_16_11_15_24933276,127258,Unprocessed,Magnetic Variation,Unknown Manufacturer,9,255,6,1,6,0xFFFFDF40FF7F
54,6_21_2015_16_11_15_24933291,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
55,6_21_2015_16_11_15_24933298,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
56,6_21_2015_16_11_15_24933348,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
57,6_21_2015_16_11_15_24933393,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF517AFF7FFF7FFD
58,6_21_2015_16_11_15_24933400,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
59,6_21_2015_16_11_15_24933434,127258,Unprocessed,Magnetic Variation,Unknown Manufacturer,4,255,7,1,6,0xFFF2DF404701
60,6_21_2015_16_11_15_24933441,129284,Processed,Navigation Data,Unknown Manufacturer,4,255,3,0,34,0xFFFFFFFFFF0FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7FFFFFFF7FFF7F
61,6_21_2015_16_11_15_24933448,129283,Processed,Cross Track Error,Unknown Manufacturer,4,255,3,1,8,0xFFF0FFFFFF7FFFFF
62,6_21_2015_16_11_15_24933455,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
63,6_21_2015_16_11_15_24933493,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF527AFF7FFF7FFD
64,6_21_2015_16_11_15_24933499,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
65,6_21_2015_16_11_15_24933548,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
66,6_21_2015_16_11_15_24933593,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF527AFF7FFF7FFD
67,6_21_2015_16_11_15_24933601,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
68,6_21_2015_16_11_16_24933648,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
69,6_21_2015_16_11_16_24933694,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF527AFF7FFF7FFD
70,6_21_2015_16_11_16_24933701,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
71,6_21_2015_16_11_16_24933748,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
72,6_21_2015_16_11_16_24933795,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF527AFF7FFF7FFD
73,6_21_2015_16_11_16_24933802,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
74,6_21_2015_16_11_16_24933848,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
75,6_21_2015_16_11_16_24933896,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF527AFF7FFF7FFD
76,6_21_2015_16_11_16_24933903,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
77,6_21_2015_16_11_16_24933948,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
78,6_21_2015_16_11_16_24933996,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
79,6_21_2015_16_11_16_24934004,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
80,6_21_2015_16_11_16_24934048,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
81,6_21_2015_16_11_16_24934109,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
82,6_21_2015_16_11_16_24934117,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
83,6_21_2015_16_11_16_24934148,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
84,6_21_2015_16_11_16_24934198,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4F7AFF7FFF7FFD
85,6_21_2015_16_11_16_24934205,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
86,6_21_2015_16_11_16_24934248,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
87,6_21_2015_16_11_16_24934276,127258,Unprocessed,Magnetic Variation,Unknown Manufacturer,9,255,6,1,6,0xFFF2DF404701
88,6_21_2015_16_11_16_24934299,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
89,6_21_2015_16_11_16_24934306,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
90,6_21_2015_16_11_16_24934348,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
91,6_21_2015_16_11_16_24934399,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
92,6_21_2015_16_11_16_24934406,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
93,6_21_2015_16_11_16_24934448,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
94,6_21_2015_16_11_16_24934500,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
95,6_21_2015_16_11_16_24934507,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
96,6_21_2015_16_11_16_24934548,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
97,6_21_2015_16_11_16_24934601,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4F7AFF7FFF7FFD
98,6_21_2015_16_11_16_24934608,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
99,6_21_2015_16_11_17_24934648,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
100,6_21_2015_16_11_17_24934684,127258,Unprocessed,Magnetic Variation,Unknown Manufacturer,4,255,7,1,6,0xFFF2DF404701
101,6_21_2015_16_11_17_24934691,129284,Processed,Navigation Data,Unknown Manufacturer,4,255,3,0,34,0xFFFFFFFFFF0FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7FFFFFFF7FFF7F
102,6_21_2015_16_11_17_24934698,129283,Processed,Cross Track Error,Unknown Manufacturer,4,255,3,1,8,0xFFF0FFFFFF7FFFFF
103,6_21_2015_16_11_17_24934706,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4F7AFF7FFF7FFD
104,6_21_2015_16_11_17_24934713,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
105,6_21_2015_16_11_17_24934748,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
106,6_21_2015_16_11_17_24934802,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
107,6_21_2015_16_11_17_24934813,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
108,6_21_2015_16_11_17_24934848,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
109,6_21_2015_16_11_17_24934903,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
110,6_21_2015_16_11_17_24934910,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
111,6_21_2015_16_11_17_24934948,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
112,6_21_2015_16_11_17_24935003,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4F7AFF7FFF7FFD
113,6_21_2015_16_11_17_24935011,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
114,6_21_2015_16_11_17_24935048,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
115,6_21_2015_16_11_17_24935104,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
116,6_21_2015_16_11_17_24935111,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
117,6_21_2015_16_11_17_24935148,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
118,6_21_2015_16_11_17_24935205,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
119,6_21_2015_16_11_17_24935212,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
120,6_21_2015_16_11_17_24935248,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
121,6_21_2015_16_11_17_24935273,59904,Processed,ISO Request,Unknown Manufacturer,4,3,6,1,3,0x14F001
122,6_21_2015_16_11_17_24935280,127258,Unprocessed,Magnetic Variation,Unknown Manufacturer,9,255,6,1,6,0xFFF2DF404701
123,6_21_2015_16_11_17_24935305,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF507AFF7FFF7FFD
124,6_21_2015_16_11_17_24935312,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
125,6_21_2015_16_11_17_24935348,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
126,6_21_2015_16_11_17_24935406,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4E7AFF7FFF7FFD
127,6_21_2015_16_11_17_24935413,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
128,6_21_2015_16_11_17_24935448,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
129,6_21_2015_16_11_17_24935507,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4D7AFF7FFF7FFD
130,6_21_2015_16_11_17_24935515,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
131,6_21_2015_16_11_17_24935548,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
132,6_21_2015_16_11_17_24935608,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4B7AFF7FFF7FFD
133,6_21_2015_16_11_17_24935615,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
134,6_21_2015_16_11_18_24935648,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
135,6_21_2015_16_11_18_24935708,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF497AFF7FFF7FFD
136,6_21_2015_16_11_18_24935714,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
137,6_21_2015_16_11_18_24935748,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
138,6_21_2015_16_11_18_24935809,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF487AFF7FFF7FFD
139,6_21_2015_16_11_18_24935816,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
140,6_21_2015_16_11_18_24935848,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
141,6_21_2015_16_11_18_24935910,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4B7AFF7FFF7FFD
142,6_21_2015_16_11_18_24935918,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
143,6_21_2015_16_11_18_24935934,127258,Unprocessed,Magnetic Variation,Unknown Manufacturer,4,255,7,1,6,0xFFF2DF404701
144,6_21_2015_16_11_18_24935940,129284,Processed,Navigation Data,Unknown Manufacturer,4,255,3,0,34,0xFFFFFFFFFF0FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7FFFFFFF7FFF7F
145,6_21_2015_16_11_18_24935948,129283,Processed,Cross Track Error,Unknown Manufacturer,4,255,3,1,8,0xFFF0FFFFFF7FFFFF
146,6_21_2015_16_11_18_24935956,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
147,6_21_2015_16_11_18_24936010,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4C7AFF7FFF7FFD
148,6_21_2015_16_11_18_24936016,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
149,6_21_2015_16_11_18_24936048,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
150,6_21_2015_16_11_18_24936111,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4C7AFF7FFF7FFD
151,6_21_2015_16_11_18_24936118,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
152,6_21_2015_16_11_18_24936148,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
153,6_21_2015_16_11_18_24936212,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4C7AFF7FFF7FFD
154,6_21_2015_16_11_18_24936220,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
155,6_21_2015_16_11_18_24936248,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
156,6_21_2015_16_11_18_24936276,127258,Unprocessed,Magnetic Variation,Unknown Manufacturer,9,255,6,1,6,0xFFF2DF404701
157,6_21_2015_16_11_18_24936313,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4D7AFF7FFF7FFD
158,6_21_2015_16_11_18_24936321,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
159,6_21_2015_16_11_18_24936348,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
160,6_21_2015_16_11_18_24936413,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4D7AFF7FFF7FFD
161,6_21_2015_16_11_18_24936421,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
162,6_21_2015_16_11_18_24936448,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
163,6_21_2015_16_11_18_24936514,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4D7AFF7FFF7FFD
164,6_21_2015_16_11_18_24936520,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
165,6_21_2015_16_11_18_24936548,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
166,6_21_2015_16_11_18_24936615,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4D7AFF7FFF7FFD
167,6_21_2015_16_11_19_24936622,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
168,6_21_2015_16_11_19_24936648,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
169,6_21_2015_16_11_19_24936716,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4C7AFF7FFF7FFD
170,6_21_2015_16_11_19_24936724,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
171,6_21_2015_16_11_19_24936748,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
172,6_21_2015_16_11_19_24936816,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4C7AFF7FFF7FFD
173,6_21_2015_16_11_19_24936823,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
174,6_21_2015_16_11_19_24936848,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
175,6_21_2015_16_11_19_24936917,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4B7AFF7FFF7FFD
176,6_21_2015_16_11_19_24936924,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
177,6_21_2015_16_11_19_24936948,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
178,6_21_2015_16_11_19_24937018,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4A7AFF7FFF7FFD
179,6_21_2015_16_11_19_24937026,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
180,6_21_2015_16_11_19_24937048,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
181,6_21_2015_16_11_19_24937118,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4A7AFF7FFF7FFD
182,6_21_2015_16_11_19_24937126,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
183,6_21_2015_16_11_19_24937148,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
184,6_21_2015_16_11_19_24937187,127258,Unprocessed,Magnetic Variation,Unknown Manufacturer,4,255,7,1,6,0xFFF2DF404701
185,6_21_2015_16_11_19_24937201,129284,Processed,Navigation Data,Unknown Manufacturer,4,255,3,0,34,0xFFFFFFFFFF0FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7FFFFFFF7FFF7F
186,6_21_2015_16_11_19_24937209,129283,Processed,Cross Track Error,Unknown Manufacturer,4,255,3,1,8,0xFFF0FFFFFF7FFFFF
187,6_21_2015_16_11_19_24937219,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4A7AFF7FFF7FFD
188,6_21_2015_16_11_19_24937225,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
189,6_21_2015_16_11_19_24937248,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
190,6_21_2015_16_11_19_24937277,127258,Unprocessed,Magnetic Variation,Unknown Manufacturer,9,255,6,1,6,0xFFF2DF404701
191,6_21_2015_16_11_19_24937320,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF4A7AFF7FFF7FFD
192,6_21_2015_16_11_19_24937325,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
193,6_21_2015_16_11_19_24937348,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
