# This sample file was logged from an NMEA 2K bus
# containing a Garmin 17X GPS, a Garmin GMI-10, and 
# an Airmar DST800.  Beginning of this log includes
# the power up sequence of the bus.
#
interface = can0, family = 29, type = 3, proto = 1
<0x19fa0400> [8] e0 93 74 fd 0c 33 50 2c 
<0x19fa0400> [8] e1 5b 3d 9c ff 45 00 00 
<0x19fa0400> [8] e2 00 f0 0e 5c 2e e4 dc 
<0x19fa0400> [8] e3 1e 10 ef ff ff ff f2 
<0x19fa0400> [8] e4 12 50 1d f2 66 6d 0f 
<0x19fa0400> [8] e5 14 00 00 00 f2 19 96 
<0x19fa0400> [8] e6 1a f2 57 7b 0f f7 ff 
<0x19fa0400> [8] e7 ff ff f2 1f b9 11 c2 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19fa0400> [8] e8 9a 6b 0f 02 00 00 00 
<0x19f51323> [8] 00 0e ff ff ff ff ff ff 
<0x09f50323> [8] 19 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] 33 c0 0f 6d ff 7f ff ff 
<0x19fa0400> [8] e9 f2 0c e8 19 e7 37 6b 
<0x19f51323> [8] 01 04 00 00 00 00 00 00 
<0x19fa0400> [8] ea 10 0c 00 00 00 f2 16 
<0x19f51323> [8] 02 00 ff ff ff ff ff ff 
<0x19fa0400> [8] eb 73 32 f1 84 f9 0f ed 
<0x19fa0400> [8] ec ff ff ff f2 18 51 0e 
<0x19fa0400> [8] ed 16 22 6d 09 00 00 00 
<0x19fa0400> [8] ee 00 f1 01 d1 06 36 dc 
<0x19fa0400> [8] ef f1 0c 37 00 00 00 f2 
<0x19fa0400> [8] f0 0b 22 06 36 cd 9e 0e 
<0x19fa0400> [8] f1 f6 ff ff ff f2 1b 21 
<0x19fa0400> [8] f2 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] f3 00 00 f0 20 0b 02 c1 
<0x19fa0400> [8] f4 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] f5 f0 ff ff ff ff ff ff 
<0x0df80500> [8] e0 2f 74 95 3d 70 4f cb 
<0x0df80500> [8] e1 29 c0 57 ef a7 ad c9 
<0x0df80500> [8] e2 e5 05 80 b3 9f c5 52 
<0x0df80500> [8] e3 d6 10 f6 10 30 8a 05 
<0x0df80500> [8] e4 00 00 00 00 13 fc 08 
<0x0df80500> [8] e5 6e 00 bd 00 dd f2 ff 
<0x0df80500> [8] e6 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 00 3e e5 98 17 00 04 04 
<0x1defff00> [8] 01 d3 5e 2f 41 7f 74 c1 
<0x1defff00> [8] 02 41 47 66 d4 41 47 66 
<0x1defff00> [8] 03 d4 41 47 66 d4 41 0a 
<0x1defff00> [8] 04 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 05 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 06 3d dd f2 8d 3f 8f 21 
<0x1defff00> [8] 07 c4 3f f0 1b f2 3f 00 
<0x1defff00> [8] 08 00 80 3f 75 67 8b 3e 
<0x09f80100> [8] 3f 7d 54 19 ef 32 55 d5 
<0x09f80200> [8] 75 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] 3f 7d 54 19 ef 32 55 d5 
<0x09f80100> [8] 3f 7d 54 19 ef 32 55 d5 
<0x09f80100> [8] 3f 7d 54 19 ef 32 55 d5 
<0x09f80200> [8] 76 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] 3f 7d 54 19 ef 32 55 d5 
<0x15fd0723> [8] 34 c0 0f 6d ff 7f ff ff 
<0x09f80100> [8] 3f 7d 54 19 ef 32 55 d5 
<0x09f80200> [8] 77 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] 3f 7d 54 19 ef 32 55 d5 
<0x09f80100> [8] 3f 7d 54 19 ef 32 55 d5 
<0x09f80100> [8] 3f 7d 54 19 ef 32 55 d5 
<0x09f80200> [8] 78 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] 3f 7d 54 19 ef 32 55 d5 
<0x0df01000> [8] 79 f0 95 3d 80 76 cb 29 
<0x19fa0300> [8] 79 d3 6e 00 99 00 64 00 
<0x19fa0400> [8] 00 93 79 fd 0c 33 50 2c 
<0x19fa0400> [8] 01 5b 3d 9c ff 45 00 00 
<0x19fa0400> [8] 02 00 f0 0e 5c 2e e4 dc 
<0x19fa0400> [8] 03 20 10 f9 ff ff ff f2 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19f51323> [8] 20 0e ff ff ff ff ff ff 
<0x09f50323> [8] 1a 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] 35 c0 0f 6d ff 7f ff ff 
<0x19fa0400> [8] 04 12 50 1d f2 66 58 0f 
<0x19f51323> [8] 21 04 00 00 00 00 00 00 
<0x19fa0400> [8] 05 13 00 00 00 f2 19 96 
<0x19f51323> [8] 22 00 ff ff ff ff ff ff 
<0x19fa0400> [8] 06 1a f2 57 85 0f eb ff 
<0x19fa0400> [8] 07 ff ff f2 1f b9 11 c2 
<0x19fa0400> [8] 08 9a 64 0f fd ff ff ff 
<0x19fa0400> [8] 09 f2 0c e8 19 e7 37 77 
<0x19fa0400> [8] 0a 10 08 00 00 00 f2 16 
<0x19fa0400> [8] 0b 73 32 f1 84 00 10 f5 
<0x19fa0400> [8] 0c ff ff ff f2 18 51 0e 
<0x19fa0400> [8] 0d 16 22 80 09 00 00 00 
<0x19fa0400> [8] 0e 00 f1 01 d1 06 36 dc 
<0x19fa0400> [8] 0f e4 0c 3a 00 00 00 f2 
<0x19fa0400> [8] 10 0b 22 06 36 cd 8c 0e 
<0x19fa0400> [8] 11 fb ff ff ff f2 1b 21 
<0x19fa0400> [8] 12 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] 13 00 00 f0 20 0b 02 c1 
<0x19fa0400> [8] 14 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] 15 f0 ff ff ff ff ff ff 
<0x0df80500> [8] 00 2f 79 95 3d 80 76 cb 
<0x0df80500> [8] 01 29 c0 9b cf 00 af c9 
<0x0df80500> [8] 02 e5 05 00 9e 70 db 53 
<0x0df80500> [8] 03 d6 10 f6 6e 79 88 05 
<0x0df80500> [8] 04 00 00 00 00 13 fc 08 
<0x0df80500> [8] 05 6e 00 bd 00 dd f2 ff 
<0x0df80500> [8] 06 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 20 3e e5 98 17 00 04 04 
<0x1defff00> [8] 21 de fb 2c 41 2d a7 bd 
<0x1defff00> [8] 22 41 cd 71 d0 41 cd 71 
<0x1defff00> [8] 23 d0 41 cd 71 d0 41 0a 
<0x1defff00> [8] 24 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 25 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 26 3d 64 f3 8d 3f ce 27 
<0x1defff00> [8] 27 c4 3f 4f 21 f2 3f 00 
<0x1defff00> [8] 28 00 80 3f ff 67 8b 3e 
<0x09f80100> [8] 45 7d 54 19 f3 32 55 d5 
<0x09f80200> [8] 7a fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 45 7d 54 19 f3 32 55 d5 
<0x09f80100> [8] 45 7d 54 19 f3 32 55 d5 
<0x09f80100> [8] 45 7d 54 19 f3 32 55 d5 
<0x09f80200> [8] 7b fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 45 7d 54 19 f3 32 55 d5 
<0x15fd0723> [8] 36 c0 0f 6d ff 7f ff ff 
<0x09f80100> [8] 45 7d 54 19 f3 32 55 d5 
<0x09f80200> [8] 7c fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 45 7d 54 19 f3 32 55 d5 
<0x09f80100> [8] 45 7d 54 19 f3 32 55 d5 
<0x09f80100> [8] 45 7d 54 19 f3 32 55 d5 
<0x09f80200> [8] 7d fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 45 7d 54 19 f3 32 55 d5 
<0x0df01000> [8] 7e f0 95 3d 90 9d cb 29 
<0x19fa0300> [8] 7e d3 6e 00 99 00 64 00 
<0x19fa0400> [8] 20 93 7e fd 0c 33 50 2c 
<0x19fa0400> [8] 21 5b 3d 9c ff 45 00 00 
<0x19fa0400> [8] 22 00 f0 0e 5c 2e e4 dc 
<0x19fa0400> [8] 23 28 10 ff ff ff ff f2 
<0x19fa0400> [8] 24 12 50 1d f2 66 4e 0f 
<0x19fa0400> [8] 25 0a 00 00 00 f2 19 96 
<0x19fa0400> [8] 26 1a f2 57 90 0f e9 ff 
<0x19fa0400> [8] 27 ff ff f2 1f b9 11 c2 
<0x19fa0400> [8] 28 9a 7b 0f fc ff ff ff 
<0x19fa0400> [8] 29 f2 0c e8 19 e7 37 9c 
<0x19fa0400> [8] 2a 10 ff ff ff ff f2 16 
<0x19fa0400> [8] 2b 73 32 f1 84 f9 0f f9 
<0x19fa0400> [8] 2c ff ff ff f2 18 51 0e 
<0x19fa0400> [8] 2d 16 22 9e 09 00 00 00 
<0x19fa0400> [8] 2e 00 f1 01 d1 06 36 dc 
<0x19fa0400> [8] 2f fa 0c 2d 00 00 00 f2 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19f51323> [8] 40 0e ff ff ff ff ff ff 
<0x09f50323> [8] 1b 00 00 ff ff 00 ff ff 
<0x19fa0400> [8] 30 0b 22 06 36 cd 84 0e 
<0x15fd0723> [8] 37 c0 0f 6d ff 7f ff ff 
<0x19f51323> [8] 41 04 00 00 00 00 00 00 
<0x19fa0400> [8] 31 05 00 00 00 f2 1b 21 
<0x19f51323> [8] 42 00 ff ff ff ff ff ff 
<0x19fa0400> [8] 32 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] 33 00 00 f0 20 0b 02 c1 
<0x19fa0400> [8] 34 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] 35 f0 ff ff ff ff ff ff 
<0x0df80500> [8] 20 2f 7e 95 3d 90 9d cb 
<0x0df80500> [8] 21 29 40 48 93 37 b0 c9 
<0x0df80500> [8] 22 e5 05 00 19 a0 ee 52 
<0x0df80500> [8] 23 d6 10 f6 2a d3 87 05 
<0x0df80500> [8] 24 00 00 00 00 13 fc 08 
<0x0df80500> [8] 25 6e 00 bd 00 dd f2 ff 
<0x0df80500> [8] 26 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 40 3e e5 98 17 00 04 04 
<0x1defff00> [8] 41 1c 02 2a 41 db f7 b9 
<0x1defff00> [8] 42 41 80 79 cc 41 80 79 
<0x1defff00> [8] 43 cc 41 80 79 cc 41 0a 
<0x1defff00> [8] 44 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 45 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 46 3d eb f3 8d 3f 0c 2e 
<0x1defff00> [8] 47 c4 3f ad 26 f2 3f 00 
<0x1defff00> [8] 48 00 80 3f ef 14 78 3e 
<0x09f80100> [8] 4a 7d 54 19 ef 32 55 d5 
<0x09f80200> [8] 7f fc 5b 95 01 00 ff ff 
<0x09f80100> [8] 4a 7d 54 19 ef 32 55 d5 
<0x09f80100> [8] 4a 7d 54 19 ef 32 55 d5 
<0x09f80100> [8] 4a 7d 54 19 ef 32 55 d5 
<0x09f80200> [8] 80 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] 4a 7d 54 19 ef 32 55 d5 
<0x09f80100> [8] 4a 7d 54 19 ef 32 55 d5 
<0x15fd0723> [8] 38 c0 0f 6d ff 7f ff ff 
<0x09f80200> [8] 81 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] 4a 7d 54 19 ef 32 55 d5 
<0x09f80100> [8] 4a 7d 54 19 ef 32 55 d5 
<0x09f80100> [8] 4a 7d 54 19 ef 32 55 d5 
<0x09f80200> [8] 82 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] 4a 7d 54 19 ef 32 55 d5 
<0x0df01000> [8] 83 f0 95 3d a0 c4 cb 29 
<0x19fa0300> [8] 83 d3 6e 00 99 00 64 00 
<0x19fa0400> [8] 40 93 83 fd 0c 33 50 2c 
<0x19fa0400> [8] 41 5b 3d 9c ff 45 00 00 
<0x19fa0400> [8] 42 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] 43 22 10 ff ff ff ff f2 
<0x19fa0400> [8] 44 12 50 1d f2 66 3e 0f 
<0x19fa0400> [8] 45 07 00 00 00 f2 19 96 
<0x19fa0400> [8] 46 1a f2 57 76 0f eb ff 
<0x19fa0400> [8] 47 ff ff f2 1f b9 11 c2 
<0x19fa0400> [8] 48 9a 5d 0f fc ff ff ff 
<0x19fa0400> [8] 49 f2 0c e8 19 e7 37 6e 
<0x19fa0400> [8] 4a 10 f9 ff ff ff f2 16 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19fa0400> [8] 4b 73 32 f1 84 d9 0f 03 
<0x19f51323> [8] 60 0e ff ff ff ff ff ff 
<0x09f50323> [8] 1c 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] 39 c0 0f 6d ff 7f ff ff 
<0x19fa0400> [8] 4c 00 00 00 f2 18 51 0e 
<0x19f51323> [8] 61 04 00 00 00 00 00 00 
<0x19fa0400> [8] 4d 16 22 ad 09 00 00 00 
<0x19f51323> [8] 62 00 ff ff ff ff ff ff 
<0x19fa0400> [8] 4e 00 f1 01 d1 06 36 dc 
<0x19fa0400> [8] 4f 1c 0d 1c 00 00 00 f2 
<0x19fa0400> [8] 50 0b 22 06 36 cd 68 0e 
<0x19fa0400> [8] 51 23 00 00 00 f2 1b 21 
<0x19fa0400> [8] 52 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] 53 00 00 f0 20 0b 02 c1 
<0x19fa0400> [8] 54 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] 55 f0 ff ff ff ff ff ff 
<0x0df80500> [8] 40 2f 83 95 3d a0 c4 cb 
<0x0df80500> [8] 41 29 c0 6c 62 0b b1 c9 
<0x0df80500> [8] 42 e5 05 80 f0 ac 3a 50 
<0x0df80500> [8] 43 d6 10 f6 25 68 87 05 
<0x0df80500> [8] 44 00 00 00 00 13 fc 08 
<0x0df80500> [8] 45 6e 00 bd 00 dd f2 ff 
<0x0df80500> [8] 46 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 60 3e e5 98 17 00 04 04 
<0x1defff00> [8] 61 e8 13 28 41 6c a0 b6 
<0x1defff00> [8] 62 41 ee 08 c9 41 ee 08 
<0x1defff00> [8] 63 c9 41 ee 08 c9 41 0a 
<0x1defff00> [8] 64 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 65 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 66 3d 72 f4 8d 3f 4a 34 
<0x1defff00> [8] 67 c4 3f 0a 2c f2 3f 00 
<0x1defff00> [8] 68 00 80 3f 4b 0a 8a 3e 
<0x09f80100> [8] 4e 7d 54 19 e4 32 55 d5 
<0x09f80200> [8] 84 fc 5b 95 02 00 ff ff 
<0x09f80100> [8] 4e 7d 54 19 e4 32 55 d5 
<0x09f80100> [8] 4e 7d 54 19 e4 32 55 d5 
<0x09f80100> [8] 4e 7d 54 19 e4 32 55 d5 
<0x09f80200> [8] 85 fc 5b 95 02 00 ff ff 
<0x09f80100> [8] 4e 7d 54 19 e4 32 55 d5 
<0x15fd0723> [8] 3a c0 0f 6d ff 7f ff ff 
<0x09f80100> [8] 4e 7d 54 19 e4 32 55 d5 
<0x09f80200> [8] 86 fc 5b 95 02 00 ff ff 
<0x09f80100> [8] 4e 7d 54 19 e4 32 55 d5 
<0x09f80100> [8] 4e 7d 54 19 e4 32 55 d5 
<0x09f80100> [8] 4e 7d 54 19 e4 32 55 d5 
<0x09f80200> [8] 87 fc 5b 95 02 00 ff ff 
<0x09f80100> [8] 4e 7d 54 19 e4 32 55 d5 
<0x0df01000> [8] 88 f0 95 3d b0 eb cb 29 
<0x19fa0300> [8] 88 d3 6e 00 99 00 64 00 
<0x19fa0400> [8] 60 93 88 fd 0c 33 50 2c 
<0x19fa0400> [8] 61 5b 3d 9c ff e9 00 00 
<0x19fa0400> [8] 62 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] 63 12 10 01 00 00 00 f2 
<0x19fa0400> [8] 64 12 50 1d f2 66 2c 0f 
<0x19fa0400> [8] 65 08 00 00 00 f2 19 96 
<0x19fa0400> [8] 66 1a f2 57 7e 0f ee ff 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19fa0400> [8] 67 ff ff f2 1f b9 11 c2 
<0x19f51323> [8] 80 0e ff ff ff ff ff ff 
<0x09f50323> [8] 1d 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] 3b c0 0f 6d ff 7f ff ff 
<0x19fa0400> [8] 68 9a 78 0f f9 ff ff ff 
<0x19f51323> [8] 81 04 00 00 00 00 00 00 
<0x19fa0400> [8] 69 f2 0c e8 19 e7 37 84 
<0x19f51323> [8] 82 00 ff ff ff ff ff ff 
<0x19fa0400> [8] 6a 10 f9 ff ff ff f2 16 
<0x19fa0400> [8] 6b 73 32 f1 84 d6 0f 08 
<0x19fa0400> [8] 6c 00 00 00 f2 18 51 0e 
<0x19fa0400> [8] 6d 16 22 bc 09 00 00 00 
<0x19fa0400> [8] 6e 00 f1 01 d1 06 36 dc 
<0x19fa0400> [8] 6f 2d 0d 13 00 00 00 f2 
<0x19fa0400> [8] 70 0b 22 06 36 cd 43 0e 
<0x19fa0400> [8] 71 34 00 00 00 f2 1b 21 
<0x19fa0400> [8] 72 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] 73 00 00 f0 20 0b 02 c1 
<0x19fa0400> [8] 74 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] 75 f0 ff ff ff ff ff ff 
<0x0df80500> [8] 60 2f 88 95 3d b0 eb cb 
<0x0df80500> [8] 61 29 80 fd 0d bd b2 c9 
<0x0df80500> [8] 62 e5 05 00 95 45 ca 4d 
<0x0df80500> [8] 63 d6 10 f6 98 8a 87 05 
<0x0df80500> [8] 64 00 00 00 00 13 fc 08 
<0x0df80500> [8] 65 6e 00 bd 00 dd f2 ff 
<0x0df80500> [8] 66 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 80 3e e5 98 17 00 04 04 
<0x1defff00> [8] 81 3d 91 25 41 0c 5e b3 
<0x1defff00> [8] 82 41 a9 8c c5 41 a9 8c 
<0x1defff00> [8] 83 c5 41 a9 8c c5 41 0a 
<0x1defff00> [8] 84 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 85 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 86 3d f9 f4 8d 3f 86 3a 
<0x1defff00> [8] 87 c4 3f 67 31 f2 3f 00 
<0x1defff00> [8] 88 00 80 3f 12 fa 74 3e 
<0x09f80100> [8] 55 7d 54 19 d9 32 55 d5 
<0x09f80200> [8] 89 fc 5b 95 04 00 ff ff 
<0x09f80100> [8] 55 7d 54 19 d9 32 55 d5 
<0x09f80100> [8] 55 7d 54 19 d9 32 55 d5 
<0x09f80100> [8] 55 7d 54 19 d9 32 55 d5 
<0x09f80200> [8] 8a fc 5b 95 04 00 ff ff 
<0x09f80100> [8] 55 7d 54 19 d9 32 55 d5 
<0x15fd0723> [8] 3c c0 0f 6d ff 7f ff ff 
<0x09f80100> [8] 55 7d 54 19 d9 32 55 d5 
<0x09f80200> [8] 8b fc 5b 95 04 00 ff ff 
<0x09f80100> [8] 55 7d 54 19 d9 32 55 d5 
<0x09f80100> [8] 55 7d 54 19 d9 32 55 d5 
<0x09f80100> [8] 55 7d 54 19 d9 32 55 d5 
<0x09f80200> [8] 8c fc 5b 95 04 00 ff ff 
<0x09f80100> [8] 55 7d 54 19 d9 32 55 d5 
<0x0df01000> [8] 8d f0 95 3d c0 12 cc 29 
<0x19fa0300> [8] 8d d3 6e 00 99 00 64 00 
<0x19fa0400> [8] 80 93 8d fd 0c 33 50 2c 
<0x19fa0400> [8] 81 5b 3d 9c ff e9 00 00 
<0x19fa0400> [8] 82 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] 83 1e 10 00 00 00 00 f2 
<0x19fa0400> [8] 84 12 50 1d f2 66 2b 0f 
<0x19fa0400> [8] 85 0e 00 00 00 f2 19 96 
<0x19fa0400> [8] 86 1a f2 57 87 0f eb ff 
<0x19fa0400> [8] 87 ff ff f2 1f b9 11 c2 
<0x19fa0400> [8] 88 9a 92 0f ed ff ff ff 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19f51323> [8] a0 0e ff ff ff ff ff ff 
<0x09f50323> [8] 1e 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] 3d c0 0f 6d ff 7f ff ff 
<0x19fa0400> [8] 89 f2 0c e8 19 e7 37 83 
<0x19f51323> [8] a1 04 00 00 00 00 00 00 
<0x19fa0400> [8] 8a 10 fd ff ff ff f2 16 
<0x19f51323> [8] a2 00 ff ff ff ff ff ff 
<0x19fa0400> [8] 8b 73 32 f1 84 d3 0f 08 
<0x19fa0400> [8] 8c 00 00 00 f2 18 51 0e 
<0x19fa0400> [8] 8d 16 22 fb 09 00 00 00 
<0x19fa0400> [8] 8e 00 f1 01 d1 06 36 dc 
<0x19fa0400> [8] 8f 37 0d 0b 00 00 00 f2 
<0x19fa0400> [8] 90 0b 22 06 36 cd 2f 0e 
<0x19fa0400> [8] 91 39 00 00 00 f2 1b 21 
<0x19fa0400> [8] 92 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] 93 00 00 f0 20 0b 02 c1 
<0x19fa0400> [8] 94 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] 95 f0 ff ff ff ff ff ff 
<0x0df80500> [8] 80 2f 8d 95 3d c0 12 cc 
<0x0df80500> [8] 81 29 00 a9 4d 6f b5 c9 
<0x0df80500> [8] 82 e5 05 00 ab 98 da 4c 
<0x0df80500> [8] 83 d6 10 f6 87 10 88 05 
<0x0df80500> [8] 84 00 00 00 00 13 fc 08 
<0x0df80500> [8] 85 6e 00 bd 00 dd f2 ff 
<0x0df80500> [8] 86 ff 00 ff ff ff ff ff 
<0x1defff00> [8] a0 3e e5 98 17 00 04 04 
<0x1defff00> [8] a1 15 56 23 41 6a 54 b0 
<0x1defff00> [8] a2 41 f9 52 c2 41 f9 52 
<0x1defff00> [8] a3 c2 41 f9 52 c2 41 0a 
<0x1defff00> [8] a4 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] a5 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] a6 3d 7f f5 8d 3f c3 40 
<0x1defff00> [8] a7 c4 3f c3 36 f2 3f 00 
<0x1defff00> [8] a8 00 80 3f 67 f9 74 3e 
<0x09f80100> [8] 60 7d 54 19 d5 32 55 d5 
<0x09f80200> [8] 8e fc 5b 95 01 00 ff ff 
<0x09f80100> [8] 60 7d 54 19 d5 32 55 d5 
<0x09f80100> [8] 60 7d 54 19 d5 32 55 d5 
<0x09f80100> [8] 60 7d 54 19 d5 32 55 d5 
<0x09f80200> [8] 8f fc 5b 95 01 00 ff ff 
<0x09f80100> [8] 60 7d 54 19 d5 32 55 d5 
<0x15fd0723> [8] 3e c0 0f 6d ff 7f ff ff 
<0x09f80100> [8] 60 7d 54 19 d5 32 55 d5 
<0x09f80200> [8] 90 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] 60 7d 54 19 d5 32 55 d5 
<0x09f80100> [8] 60 7d 54 19 d5 32 55 d5 
<0x09f80100> [8] 60 7d 54 19 d5 32 55 d5 
<0x09f80200> [8] 91 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] 60 7d 54 19 d5 32 55 d5 
<0x0df01000> [8] 92 f0 95 3d d0 39 cc 29 
<0x19fa0300> [8] 92 d3 6e 00 99 00 64 00 
<0x19fa0400> [8] a0 93 92 fd 0c 33 50 2c 
<0x19fa0400> [8] a1 5b 3d 9c ff e9 00 00 
<0x19fa0400> [8] a2 00 f0 0e 5c 2e 93 dd 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19fa0400> [8] a3 f2 0f 04 00 00 00 f2 
<0x19f51323> [8] c0 0e ff ff ff ff ff ff 
<0x09f50323> [8] 1f 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] 3f c0 0f 6d ff 7f ff ff 
<0x19fa0400> [8] a4 12 50 1d f2 66 2f 0f 
<0x19f51323> [8] c1 04 00 00 00 00 00 00 
<0x19fa0400> [8] a5 08 00 00 00 f2 19 96 
<0x19f51323> [8] c2 00 ff ff ff ff ff ff 
<0x19fa0400> [8] a6 1a f2 57 90 0f e2 ff 
<0x19fa0400> [8] a7 ff ff f2 1f b9 11 c2 
<0x19fa0400> [8] a8 9a a8 0f f0 ff ff ff 
<0x19fa0400> [8] a9 f2 0c e8 19 e7 37 5d 
<0x19fa0400> [8] aa 10 fd ff ff ff f2 16 
<0x19fa0400> [8] ab 73 32 f1 84 cf 0f 10 
<0x19fa0400> [8] ac 00 00 00 f2 18 51 0e 
<0x19fa0400> [8] ad 16 22 20 0a 00 00 00 
<0x19fa0400> [8] ae 00 f1 01 d1 06 36 dc 
<0x19fa0400> [8] af 3a 0d 0c 00 00 00 f2 
<0x19fa0400> [8] b0 0b 22 06 36 cd 2a 0e 
<0x19fa0400> [8] b1 3a 00 00 00 f2 1b 21 
<0x19fa0400> [8] b2 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] b3 00 00 f0 20 0b 02 c1 
<0x19fa0400> [8] b4 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] b5 f0 ff ff ff ff ff ff 
<0x0df80500> [8] a0 2f 92 95 3d d0 39 cc 
<0x0df80500> [8] a1 29 80 ec 6e 1f b8 c9 
<0x0df80500> [8] a2 e5 05 00 de af a9 4a 
<0x0df80500> [8] a3 d6 10 f6 70 51 89 05 
<0x0df80500> [8] a4 00 00 00 00 13 fc 08 
<0x0df80500> [8] a5 6e 00 bd 00 dd f2 ff 
<0x0df80500> [8] a6 ff 00 ff ff ff ff ff 
<0x1defff00> [8] c0 3e e5 98 17 00 04 04 
<0x1defff00> [8] c1 d4 58 21 41 02 7e ad 
<0x1defff00> [8] c2 41 e0 54 bf 41 e0 54 
<0x1defff00> [8] c3 bf 41 e0 54 bf 41 0a 
<0x1defff00> [8] c4 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] c5 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] c6 3d 06 f6 8d 3f fe 46 
<0x1defff00> [8] c7 c4 3f 1e 3c f2 3f 00 
<0x1defff00> [8] c8 00 80 3f 6f f8 74 3e 
<0x09f80100> [8] 6c 7d 54 19 cc 32 55 d5 
<0x09f80200> [8] 93 fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 6c 7d 54 19 cc 32 55 d5 
<0x09f80100> [8] 6c 7d 54 19 cc 32 55 d5 
<0x09f80100> [8] 6c 7d 54 19 cc 32 55 d5 
<0x09f80200> [8] 94 fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 6c 7d 54 19 cc 32 55 d5 
<0x15fd0723> [8] 40 c0 0f 6d ff 7f ff ff 
<0x09f80100> [8] 6c 7d 54 19 cc 32 55 d5 
<0x09f80200> [8] 95 fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 6c 7d 54 19 cc 32 55 d5 
<0x09f80100> [8] 6c 7d 54 19 cc 32 55 d5 
<0x09f80100> [8] 6c 7d 54 19 cc 32 55 d5 
<0x09f80200> [8] 96 fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 6c 7d 54 19 cc 32 55 d5 
<0x0df01000> [8] 97 f0 95 3d e0 60 cc 29 
<0x19fa0300> [8] 97 d3 6e 00 99 00 64 00 
<0x19fa0400> [8] c0 93 97 fd 0c 33 50 2c 
<0x19fa0400> [8] c1 5b 3d 9c ff e9 00 00 
