# This sample file was logged from an NMEA 2K bus
# containing a Garmin 17X GPS, a Garmin GMI-10, and 
# an Airmar DST800.  Beginning of this log includes
# the power up sequence of the bus.
#
interface = can0, family = 29, type = 3, proto = 1
<0x19f01400> [8] 0b 00 00 00 00 00 00 00 
<0x19f01400> [8] 0c 00 00 00 00 00 00 00 
<0x19f01400> [8] 0d 00 00 00 00 00 00 00 
<0x19f01400> [8] 0e 00 00 00 33 36 31 38 
<0x19f01400> [8] 0f 35 33 30 30 33 34 00 
<0x19f01400> [8] 10 00 00 00 00 00 00 00 
<0x19f01400> [8] 11 00 00 00 00 00 00 00 
<0x19f01400> [8] 12 00 00 00 00 00 00 00 
<0x19f01400> [8] 13 01 03 ff ff ff ff ff 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80200> [8] 05 fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x0df01000> [8] 06 f0 95 3d 10 f4 c7 29 
<0x19fa0300> [8] 06 fb ff ff ff ff ff ff 
<0x19fa0400> [8] 20 93 06 fd 0c 33 50 2c 
<0x19fa0400> [8] 21 5b 3d 9c ff 45 00 00 
<0x19fa0400> [8] 22 00 f0 19 96 1a f2 57 
<0x19fa0400> [8] 23 51 0f 00 00 00 00 f2 
<0x19fa0400> [8] 24 1f b9 11 c2 9a b1 0f 
<0x19fa0400> [8] 25 00 00 00 00 f2 01 d1 
<0x19fa0400> [8] 26 06 36 dc 9c ff af 3a 
<0x19fa0400> [8] 27 5d e5 f0 0b 22 06 36 
<0x19fa0400> [8] 28 cd 9c ff ff ff ff 7f 
<0x19fa0400> [8] 29 f0 0c e8 19 e7 37 9c 
<0x19fa0400> [8] 2a ff 37 00 00 00 f0 0e 
<0x19fa0400> [8] 2b 5c 2e e4 dc 9c ff 00 
<0x19fa0400> [8] 2c 00 00 00 f0 12 50 1d 
<0x19fa0400> [8] 2d f2 66 9c ff 00 00 00 
<0x19fa0400> [8] 2e 00 f0 16 73 32 f1 84 
